,author,published_at,updated_at,like_count,text,sentimiento
0,@SoCalian,2024-05-27T19:17:30Z,2024-05-27T19:17:30Z,0,Joey mentioned his dumb dead son again. Whodathunk,-0.8225
1,@maxwellanderson007,2024-05-27T18:17:12Z,2024-05-27T18:17:12Z,2,FJB. LOL. There were 5 jump cuts in 15 second video. LOL.,0.7065
2,@MadhavThapa-xy8hb,2024-05-27T18:04:32Z,2024-05-27T18:04:32Z,0,Biden 😂😂😂😂,0.0
3,@discopatrol.,2024-05-27T17:24:12Z,2024-05-27T17:24:12Z,0,Challenge RFK...I dare you Joe,0.0772
4,@jebbush3130,2024-05-27T16:37:59Z,2024-05-27T16:37:59Z,1,he has no idea what&#39;s going on,-0.296
5,@jackmckeown9121,2024-05-27T15:49:03Z,2024-05-27T15:49:03Z,0,"Images of headless and melted children are coming out of Rafah today as the US sits idly by like spineless cowards, afraid to put any substantial pressure on Israel to halt the humanitarian crisis and coordinate with neighboring states to transition to a Palestinian Authority led government in Gaza. The IDF’s reckless bombing campaign also continues to put the lives of the 100 remaining Israeli hostages in Gaza at risk. It’s getting harder and harder to justify voting for Joe Biden. I expect warmongering and a lack of humanity from Trump followers and Republicans in general but is this the best the Democratic Party can do?",0.6369
6,@terrencetrent9808,2024-05-27T15:13:54Z,2024-05-27T15:13:54Z,0,Go BIDEN,0.0
7,@tvshowmemes-jt8eb,2024-05-27T14:59:45Z,2024-05-27T14:59:45Z,0,You’re gonna get smacked lol,0.4215
8,@user-yi4hs7zu8f,2024-05-27T14:56:45Z,2024-05-27T14:56:45Z,0,Joe biden: you are jug you are flask you are 😅,0.0
9,@user-lc2fg5cm1y,2024-05-27T14:47:06Z,2024-05-27T14:47:06Z,0,"Please, Biden, America. Please, I have had a year and I have been asking for your help, and you are not telling me",0.743
10,@user-lc2fg5cm1y,2024-05-27T14:46:01Z,2024-05-27T14:46:01Z,0,"Biden, please help me. I have not forgotten your help. I am threatened with death by these people",0.1195
11,@Ahmed-kn1zo,2024-05-27T14:26:29Z,2024-05-27T14:26:29Z,0,👴,0.0
12,@gerryespinoza6826,2024-05-27T14:22:29Z,2024-05-27T14:22:29Z,0,Moran of a president,0.0
13,@hillock10,2024-05-27T14:16:15Z,2024-05-27T14:16:15Z,0,"Voting for this fool Biden risks total FINANCIAL COLLAPSE of the USA.  Figures don&#39;t lie.  The national debt is now at 35 trillion.  Household debt is at 17+ trillion in the USA.   Avg.  credit card debt is $8400.00.   The farming industry is in financial trouble.  Gas prices are roughly 82% inflated from 2020.  Food and real estate are dramatically increased from 2020.   Housing prices are up roughly 54% in the last 5 years.  The EV industry has collapsed.  Ancillary businesses like motion picture theatres, hobby shops and playhouses are dramatically dissolved and gone.",-0.9261
14,@allenchu4326,2024-05-27T13:09:51Z,2024-05-27T13:09:51Z,3,Trump 2024,0.0
15,@aof13,2024-05-27T12:53:33Z,2024-05-27T12:53:33Z,1,"Joe, I guess&quot;Spies who lied&quot; for you about Hunter’s laptop were wrong: &quot;The Laptop is Real”: Justice Department Denounces Claims of Russian Disinformation as a Biden “Conspiracy Theory”",-0.3818
16,@obamaniger,2024-05-27T12:32:07Z,2024-05-27T12:32:07Z,0,Become the president again leave me the fk alone,-0.296
17,@Brodzzzzz,2024-05-27T12:07:39Z,2024-05-27T12:07:39Z,1,I remember my first red bull Joe.,0.0
18,@joeshu3769,2024-05-27T11:52:50Z,2024-05-27T11:52:50Z,1,I&#39;ll debate Trump anytime! Any where!!!    Long as Trump isn&#39;t there.......,0.0
19,@robertjoe7590,2024-05-27T11:36:33Z,2024-05-27T11:36:33Z,2,"🖕 you Joe, you have destroyed this country and separated it more than ever your true job has been done, I see through your b.s",-0.1027
20,@user-my8bk7ll4j,2024-05-27T11:35:03Z,2024-05-27T11:35:03Z,1,Joe Biden you seriously need to cut the grocery store prices it&#39;s way to expensive,-0.4215
21,@abdelrraouf4032,2024-05-27T10:50:52Z,2024-05-27T10:50:52Z,1,BRAVO BIDEN  ; Beheaded children in Gaza now  . Really maniac president.,-0.5256
22,@euroovca25,2024-05-27T10:22:36Z,2024-05-27T10:22:36Z,1,is this an AI face? it sure looks like AI,0.5859
23,@handmade64,2024-05-27T10:07:42Z,2024-05-27T10:07:42Z,1,5 cuts for a 14 second video,-0.296
24,@theguyinblue123,2024-05-27T09:46:05Z,2024-05-27T09:46:05Z,1,Old clown,0.0
25,@bintang-ru4pv,2024-05-27T09:04:48Z,2024-05-27T09:04:48Z,0,bintang.itukh yang pikuk nggak mauu kuliah.❤😂😂😂,0.0
26,@juanDE1703,2024-05-27T07:54:44Z,2024-05-27T07:54:44Z,0,Without audience...😂😂😂,0.0
27,@LSqre,2024-05-27T07:28:33Z,2024-05-27T07:28:33Z,0,but will joe biden debate rfk jr.?,0.0
28,@LT.Daigle,2024-05-27T05:54:29Z,2024-05-27T05:54:29Z,0,"Who wants to bet they grease the skids with pills and shots. White wakes him up, blue calms him down and orange keeps the demons from dancing all around. Then the brown pill is so he doesn&#39;t spit his pants.",0.3182
