,author,published_at,updated_at,like_count,text,sentimiento
0,@kennethjames237,2024-05-28T13:16:38Z,2024-05-28T13:16:38Z,0,If you vote for Biden you are voting for the further destruction of the country. He is a puppet who is severely compromised and controlled by the left which has completely lost their minds and any kind of common sense,-0.8516
1,@SammyHamawi,2024-05-18T20:42:44Z,2024-05-18T20:42:44Z,0,Middle nation on yiutube.,0.0
2,@ZulaikhaZulaikha-wv7rs,2024-05-18T08:31:18Z,2024-05-18T08:31:18Z,0,❤❤❤🎉🎉🎉jam❤❤🎉🎉🇬🇧🇺🇸🌟⭐🌕🌍🌎🌏🇸🇦🕋🗽💒🕌🌄🌃🌇⛈️🌫🌟,0.0
3,@Dnn411,2024-05-17T18:01:03Z,2024-05-17T18:01:03Z,0,"No, respectfully No.  America needs a youthful, younger, vital, eloquent and Charismatic Democratic Canidate if we have a glimmer to win and save our Democracy in 2024.  Joe, Please Step Aside, who will Step Up?",0.9022
4,@nathanvinson7639,2024-05-15T16:31:07Z,2024-05-15T16:31:07Z,1,"It&#39;s so clear that any opposing comments are of low intelligence. If you read them, they make no sense &amp; are very childish. That&#39;s what foreign trolls think of Americans. They think we can&#39;t understand the facts. Vote 💙",0.0516
5,@nathanvinson7639,2024-05-15T16:19:49Z,2024-05-15T16:19:49Z,1,"If we forget that, we lose. Letting Russia win weakens our stance in the world. Understand that!!",-0.3987
6,@kennethquintini658,2024-05-12T19:53:36Z,2024-05-12T19:53:36Z,0,Biden/Harris for American democracy and freedom in November 🇺🇲🇺🇲🇺🇲,0.6369
7,@jpenning7,2024-05-12T15:35:14Z,2024-05-12T15:35:14Z,1,His staff doesn’t even scrub the negative comments off of these videos lol,-0.2263
8,@user-qd1le3qb9e,2024-05-11T20:43:09Z,2024-05-11T20:43:09Z,0,拜登<br>穩重<br>認真,0.0
9,@fourfortyroadrunner6701,2024-05-09T21:24:05Z,2024-05-09T21:24:05Z,0,It is certainly  too bad that Bidim  does not understand the &quot;idea of  America.&quot;,-0.2732
10,@JaxFacts,2024-05-04T15:07:56Z,2024-05-04T15:07:56Z,0,TRUMP 2024,0.0
11,@manseimark,2024-04-30T04:16:20Z,2024-04-30T04:16:20Z,0,"&quot;Antifa is just an idea, its not real&quot; - Joe Biden",0.0
