author,published_at,updated_at,like_count,text
@Ffokcufod,2024-05-27T19:36:04Z,2024-05-27T19:36:04Z,0,Traitor trump needs dumped.
@KarenSimon-se3ez,2024-05-27T19:34:45Z,2024-05-27T19:34:45Z,1,Love Trump &amp; his Family.    Vote for Trump 2024. 🙏🙏🇺🇸🇺🇸👨🏼‍🦱👨🏼‍🦱
@tinaferrebee9070,2024-05-27T19:30:30Z,2024-05-27T19:30:30Z,0,I believe the President needs medical attention.He doesn&#39;t know what he&#39;s talking about!
@chevysaab1,2024-05-27T19:27:14Z,2024-05-27T19:27:14Z,0,"you why trump is a coward, draft dodger , and won’t take the stand to defend himself, but takes the 5th when he has no choice.."
@klacy5555,2024-05-27T19:17:53Z,2024-05-27T19:17:53Z,0,"Good work Fox, couldn&#39;t hear a F*cking thing your reporter was saying."
@susandecker6351,2024-05-27T19:14:09Z,2024-05-27T19:14:09Z,0,None of this is true. They were cheering got the race. He was standing in the parking lot.
@enduser6764,2024-05-27T19:13:40Z,2024-05-27T19:13:40Z,0,It would be hilarious if trump wins. It&#39;ll be like maga the barking dog catching the car. It won&#39;t know what to do but let the car back over itself. Cuz that&#39;s what&#39;s gonna happen. Cool aide drinkers.
@cloutfisher7714,2024-05-27T19:04:34Z,2024-05-27T19:04:34Z,0,"The decision to report from an active NASCAR track is the dumbest thing I’ve seen on Fox News, and that’s saying a lot"
@billybutcher5968,2024-05-27T18:58:08Z,2024-05-27T18:58:08Z,0,86 billion people
@hamishfenton8633,2024-05-27T18:57:22Z,2024-05-27T18:57:22Z,0,My god fake as
@ErnestClary,2024-05-27T18:56:44Z,2024-05-27T18:56:44Z,0,so the crowd was cheering the helicopters and trump takes credit- what a narcissist
@hamartime17,2024-05-27T18:53:09Z,2024-05-27T18:53:09Z,0,"I’m gonna be real here. I cannot speak for everyone, but it’s never sat right with me when you hear them say “former president Trump.”<br>I still feel like he never lost."
@IAMTHEBIGCHUCQUITA,2024-05-27T18:52:41Z,2024-05-27T18:52:41Z,0,This is the kind of crowd for Chump.... <br>Yeah a bunch of backwood hicks!
@joepipito7431,2024-05-27T18:41:40Z,2024-05-27T18:41:40Z,0,W H A T
@ErnestLauzon,2024-05-27T18:41:19Z,2024-05-27T18:41:19Z,0,Only Fox news and Rupert Murdoch can support the criminal Trump.
@FlushingTrump,2024-05-27T18:39:04Z,2024-05-27T18:39:04Z,0,"Trump really is a sick delusional moron. <br>Every day each his insanity soaked, multiple defective personalities tell him he&#39;s the greatest and nothing else matters.  No real truth, or reality ever gets past his moronic, useless insanity.<br>This failure, defines Trump in all the things you see him do.<br>There is no one else to care about, only himself.....his multiple sick egos rule all he does.<br>Keep Trump out of the White House.<br>He&#39;s unfit.<br>America is great without Trump!"
@jacksonjoe9724,2024-05-27T18:36:33Z,2024-05-27T18:36:33Z,0,Only an orange rube would believe this shyt! we heard and saw everyone cheer for match Box 20. Keep watching Fox in your $400 gold sneakers ...Losers!
