author,published_at,updated_at,like_count,text
@FabrySigurdsson,2024-05-26T18:47:47Z,2024-05-26T18:47:47Z,0,DONNY 2024!!!!
@foodforthoughtchef,2024-05-25T03:20:34Z,2024-05-25T03:20:34Z,0,Malignant criminal Trump 😊
@perrieargent9997,2024-05-22T22:48:58Z,2024-05-22T22:48:58Z,0,We love our new dictator who will destroy our lives and our country!
@user-mn2yj2kt7k,2024-05-22T14:19:51Z,2024-05-22T14:19:51Z,0,What a stooge
@lightone-rx4rr,2024-05-21T19:08:38Z,2024-05-21T19:08:38Z,0,Thank him for what?
@thedoctorkp837,2024-05-20T19:37:23Z,2024-05-20T19:37:23Z,0,I can&#39;t wait to see him go to jail😂😂😂😂😂😂
@marcnicolaithomsen4316,2024-05-20T17:43:55Z,2024-05-20T17:43:55Z,0,Imagine supporting a rapist like donnie
@giselatorres6254,2024-05-20T12:25:40Z,2024-05-20T12:25:40Z,0,Viva nuestro próximo presidente Trump 2024
@scottporraro1089,2024-05-19T19:05:20Z,2024-05-19T19:05:20Z,0,❤ best president ever
@sheilawolters1125,2024-05-19T03:05:11Z,2024-05-19T03:05:11Z,0,God Bless You Trump we LOVE YOU.
@juancarloslopezalonso9553,2024-05-18T04:29:13Z,2024-05-18T04:29:13Z,0,🤮🤮🤮
@mattholden6119,2024-05-17T19:55:33Z,2024-05-17T19:55:33Z,0,4 the LOVE of TRUMP #47
@smithgroove945,2024-05-17T14:06:21Z,2024-05-17T14:06:21Z,0,He is a weak Narcissist. The future doesn&#39;t need more of his kind.
@CesarChacon-ik1bs,2024-05-17T10:51:01Z,2024-05-17T10:51:01Z,0,Mira la gente.desmayando.atron
@Carolacan,2024-05-16T05:15:45Z,2024-05-16T05:16:54Z,0,God bless you President Trump.  🙏  We love you too.  ❤ 🇨🇦 <br>The content moderators on youtube hate that we love you and remove our comments.  It&#39;s all part of their free speech.
@sonerguezel8734,2024-05-15T20:03:52Z,2024-05-15T20:03:52Z,1,"In halls of power, strong and bright,<br>Stands a man, his will a guiding light.<br>With strength and courage in times of need,<br>He rises tall, and takes the lead.<br><br>His name echoes far and wide,<br>With respect and power, day and night.<br>He demands the respect that he is due,<br>And shows the path for me and you.<br>We Love Donald Trump <br>❤<br><br>The people follow, trusting in his word,<br>In his promise, hope is stirred.<br>He brings peace, respect, and calm,<br>Planting belief in every palm.<br><br>With love and strength, he seeks always more,<br>Lifting the weak, showing them the shore.<br>A beacon of power in stormy seas,<br>He stands unshaken, firm as trees.<br><br>So is he, Trump, clear in history&#39;s frame,<br>A man of power, the world knows his name.<br>In kindness and respect, in love and light,<br>He remains unforgettable, his name a guiding light."
@efrainchavarria1845,2024-05-15T06:09:33Z,2024-05-15T06:09:33Z,0,"El mejor  presidente  de todos los  tiempos, D.Trump"
@sengkimlay4827,2024-05-14T12:51:24Z,2024-05-14T12:51:24Z,0,Hi from cambodia
@user-gz2jg9wj6t,2024-05-13T22:27:32Z,2024-05-13T22:27:32Z,0,The final antichrist born on a total lunar eclipse.
@ratnadiankumala4857,2024-05-13T14:38:31Z,2024-05-13T14:38:31Z,0,Maybe mr T will win not from other side
@duanerondorf8948,2024-05-11T18:22:28Z,2024-05-11T18:22:28Z,0,Three supporters outside the courthouse!😂😂😂😂
@user-jv5cu4hz3q,2024-05-11T11:46:35Z,2024-05-11T11:48:29Z,0,The &quot;fans&quot;probably made $100 for participating in this photo op.
@robchavez2167,2024-05-10T22:03:38Z,2024-05-10T22:03:38Z,0,TRAITORS
@johntillotson4254,2024-05-10T22:00:45Z,2024-05-10T22:00:45Z,0,It&#39;s amazing how many people he&#39;s hoodwinked.  He said he would destroy the constitution.  He started an insurrection.  I&#39;m citing a quote. WHEN fascism arrives in the US it will come holding a Bible while hugging the flag. I&#39;m a veteran.  Anybody who says they would destroy the constitution is not worthy to be a president of this country.  Wrong flag
@JeffRice-jh9tu,2024-05-09T19:04:47Z,2024-05-09T19:04:47Z,0,"The commentor about the orange, you will look great in black and white stripes!"
@jesussantana3574,2024-05-09T16:19:18Z,2024-05-09T16:19:18Z,0,PURA PROPAGANDA AL FINAR COMO TODOS NO LES IMPORTAMOS PARA NADA SOLO LES IMPORTA EL. PODER. 😢😢😢😢
@jc6461,2024-05-09T04:01:55Z,2024-05-09T04:01:55Z,0,"5 paid employees cheering, trump would never allow his maga mormons near his musty retirement community"
@joebrown1413,2024-05-08T22:44:30Z,2024-05-08T22:44:30Z,0,USA 🇺🇸 USA 🇺🇸 USA 🇺🇸 and mr trump
@ad4455f,2024-05-08T15:16:27Z,2024-05-08T15:16:27Z,0,🙏🙏🙏🙏❤️💜❤️💜❤️💜🇺🇸🇺🇸✌️✌️✌️✌️
@kylejohnson5086,2024-05-07T07:14:12Z,2024-05-07T07:14:12Z,0,🫡🇺🇸🗽
@user-zq4zi3dy3c,2024-05-06T21:39:39Z,2024-05-06T21:39:39Z,1,MAGA MAGA
@user-zq4zi3dy3c,2024-05-06T21:39:17Z,2024-05-06T21:39:17Z,1,ELECTION INTERFERENCE.
@DanielHernandez-dh6yn,2024-05-06T11:47:23Z,2024-05-06T11:47:23Z,0,An Ex president out of shape😂😂😂 struggling going uphill 😂😂😂
@marks6385,2024-05-06T01:17:34Z,2024-05-06T01:17:34Z,0,Best President ever! FJB!
@douglaspelowski5566,2024-05-05T21:17:59Z,2024-05-05T21:17:59Z,0,All 5 of them
@roibnharsvick6338,2024-05-05T12:58:22Z,2024-05-05T12:58:22Z,0,FDJT. Criminal and cheat  ....
@user-ej5rv4ce2w,2024-05-04T20:48:41Z,2024-05-04T20:48:49Z,0,Is he walking to prison?
@felixgonzalez3972,2024-05-04T16:16:33Z,2024-05-04T16:16:33Z,0,"I could smell right through the computer. S*** is s***, no matter what you call it."
@pookies_alibi,2024-05-04T04:11:04Z,2024-05-04T04:11:04Z,0,Worst President ever
@pookies_alibi,2024-05-04T04:10:48Z,2024-05-04T04:10:48Z,0,Von shitsinpants
@nancychuba2823,2024-05-04T00:34:39Z,2024-05-04T00:34:39Z,0,"Greatest president ,we love u Trump 2024❤"
@waynebowen3133,2024-05-03T22:43:01Z,2024-05-03T22:43:01Z,0,I hear no fu either
@jamzpaginag856,2024-05-03T15:39:38Z,2024-05-03T15:39:38Z,0,That&#39;s it practice makes you perfect in prison.
@nunionbusiness,2024-05-03T12:11:21Z,2024-05-03T12:11:21Z,0,Only when he takes his morning Adderall
@jeffrapp7278,2024-05-02T21:59:26Z,2024-05-02T21:59:26Z,0,All 5 of them😅
@apartmentsavailableinnewyo3974,2024-05-02T13:30:01Z,2024-05-02T13:30:01Z,0,Stay strong Donald Trump. We can&#39;t wait to vote you in office.
@deborahbowden5586,2024-05-02T05:01:00Z,2024-05-02T05:01:00Z,0,❤❤❤❤❤Trump
@VazquezAntonio-ot7pz,2024-05-01T13:40:12Z,2024-05-01T13:40:12Z,0,Ciego enganando a ciegos
@091461,2024-05-01T12:22:24Z,2024-05-01T12:22:24Z,0,Lock that POS up.
@dmr123kkla,2024-05-01T00:59:07Z,2024-05-01T00:59:07Z,1,I only heard three different voices. And that&#39;s how come they weren&#39;t shown on video. <br>The Scheming and the Scamming and Hoodwinking never stop with the self-proclaimed Pussy Grabber and convicted Rapist.
@arturodeltoro1419,2024-04-30T21:46:25Z,2024-04-30T21:46:25Z,0,CONald Trump
@abelfhi6733,2024-04-30T13:04:46Z,2024-04-30T13:04:46Z,0,Trump Trump Trump Trump Trump Trump
@arthursmith9264,2024-04-30T02:38:44Z,2024-04-30T02:38:44Z,1,That depend is leaking
