,author,published_at,updated_at,like_count,text,sentimiento
0,@FabrySigurdsson,2024-05-26T18:47:47Z,2024-05-26T18:47:47Z,0,DONNY 2024!!!!,0.0
1,@foodforthoughtchef,2024-05-25T03:20:34Z,2024-05-25T03:20:34Z,0,Malignant criminal Trump 😊,-0.5267
2,@perrieargent9997,2024-05-22T22:48:58Z,2024-05-22T22:48:58Z,0,We love our new dictator who will destroy our lives and our country!,0.2481
3,@user-mn2yj2kt7k,2024-05-22T14:19:51Z,2024-05-22T14:19:51Z,0,What a stooge,0.0
4,@lightone-rx4rr,2024-05-21T19:08:38Z,2024-05-21T19:08:38Z,0,Thank him for what?,0.3612
5,@thedoctorkp837,2024-05-20T19:37:23Z,2024-05-20T19:37:23Z,0,I can&#39;t wait to see him go to jail😂😂😂😂😂😂,0.0
6,@marcnicolaithomsen4316,2024-05-20T17:43:55Z,2024-05-20T17:43:55Z,0,Imagine supporting a rapist like donnie,-0.128
7,@giselatorres6254,2024-05-20T12:25:40Z,2024-05-20T12:25:40Z,0,Viva nuestro próximo presidente Trump 2024,0.0
8,@scottporraro1089,2024-05-19T19:05:20Z,2024-05-19T19:05:20Z,0,❤ best president ever,0.6369
9,@sheilawolters1125,2024-05-19T03:05:11Z,2024-05-19T03:05:11Z,0,God Bless You Trump we LOVE YOU.,0.87
10,@juancarloslopezalonso9553,2024-05-18T04:29:13Z,2024-05-18T04:29:13Z,0,🤮🤮🤮,0.0
11,@mattholden6119,2024-05-17T19:55:33Z,2024-05-17T19:55:33Z,0,4 the LOVE of TRUMP #47,0.7125
12,@smithgroove945,2024-05-17T14:06:21Z,2024-05-17T14:06:21Z,0,He is a weak Narcissist. The future doesn&#39;t need more of his kind.,0.1935
13,@CesarChacon-ik1bs,2024-05-17T10:51:01Z,2024-05-17T10:51:01Z,0,Mira la gente.desmayando.atron,0.0
14,@Carolacan,2024-05-16T05:15:45Z,2024-05-16T05:16:54Z,0,God bless you President Trump.  🙏  We love you too.  ❤ 🇨🇦 <br>The content moderators on youtube hate that we love you and remove our comments.  It&#39;s all part of their free speech.,0.9169
15,@sonerguezel8734,2024-05-15T20:03:52Z,2024-05-15T20:03:52Z,1,"In halls of power, strong and bright,<br>Stands a man, his will a guiding light.<br>With strength and courage in times of need,<br>He rises tall, and takes the lead.<br><br>His name echoes far and wide,<br>With respect and power, day and night.<br>He demands the respect that he is due,<br>And shows the path for me and you.<br>We Love Donald Trump <br>❤<br><br>The people follow, trusting in his word,<br>In his promise, hope is stirred.<br>He brings peace, respect, and calm,<br>Planting belief in every palm.<br><br>With love and strength, he seeks always more,<br>Lifting the weak, showing them the shore.<br>A beacon of power in stormy seas,<br>He stands unshaken, firm as trees.<br><br>So is he, Trump, clear in history&#39;s frame,<br>A man of power, the world knows his name.<br>In kindness and respect, in love and light,<br>He remains unforgettable, his name a guiding light.",0.9943
16,@efrainchavarria1845,2024-05-15T06:09:33Z,2024-05-15T06:09:33Z,0,"El mejor  presidente  de todos los  tiempos, D.Trump",0.0
17,@sengkimlay4827,2024-05-14T12:51:24Z,2024-05-14T12:51:24Z,0,Hi from cambodia,0.0
18,@user-gz2jg9wj6t,2024-05-13T22:27:32Z,2024-05-13T22:27:32Z,0,The final antichrist born on a total lunar eclipse.,0.0
19,@ratnadiankumala4857,2024-05-13T14:38:31Z,2024-05-13T14:38:31Z,0,Maybe mr T will win not from other side,0.5859
20,@duanerondorf8948,2024-05-11T18:22:28Z,2024-05-11T18:22:28Z,0,Three supporters outside the courthouse!😂😂😂😂,0.4926
21,@user-jv5cu4hz3q,2024-05-11T11:46:35Z,2024-05-11T11:48:29Z,0,The &quot;fans&quot;probably made $100 for participating in this photo op.,0.0
22,@robchavez2167,2024-05-10T22:03:38Z,2024-05-10T22:03:38Z,0,TRAITORS,0.0
23,@johntillotson4254,2024-05-10T22:00:45Z,2024-05-10T22:00:45Z,0,It&#39;s amazing how many people he&#39;s hoodwinked.  He said he would destroy the constitution.  He started an insurrection.  I&#39;m citing a quote. WHEN fascism arrives in the US it will come holding a Bible while hugging the flag. I&#39;m a veteran.  Anybody who says they would destroy the constitution is not worthy to be a president of this country.  Wrong flag,-0.7101
24,@JeffRice-jh9tu,2024-05-09T19:04:47Z,2024-05-09T19:04:47Z,0,"The commentor about the orange, you will look great in black and white stripes!",0.6588
25,@jesussantana3574,2024-05-09T16:19:18Z,2024-05-09T16:19:18Z,0,PURA PROPAGANDA AL FINAR COMO TODOS NO LES IMPORTAMOS PARA NADA SOLO LES IMPORTA EL. PODER. 😢😢😢😢,-0.6874
26,@jc6461,2024-05-09T04:01:55Z,2024-05-09T04:01:55Z,0,"5 paid employees cheering, trump would never allow his maga mormons near his musty retirement community",0.3887
27,@joebrown1413,2024-05-08T22:44:30Z,2024-05-08T22:44:30Z,0,USA 🇺🇸 USA 🇺🇸 USA 🇺🇸 and mr trump,0.0
28,@ad4455f,2024-05-08T15:16:27Z,2024-05-08T15:16:27Z,0,🙏🙏🙏🙏❤️💜❤️💜❤️💜🇺🇸🇺🇸✌️✌️✌️✌️,0.0
29,@kylejohnson5086,2024-05-07T07:14:12Z,2024-05-07T07:14:12Z,0,🫡🇺🇸🗽,0.0
30,@user-zq4zi3dy3c,2024-05-06T21:39:39Z,2024-05-06T21:39:39Z,1,MAGA MAGA,0.0
31,@user-zq4zi3dy3c,2024-05-06T21:39:17Z,2024-05-06T21:39:17Z,1,ELECTION INTERFERENCE.,0.0
32,@DanielHernandez-dh6yn,2024-05-06T11:47:23Z,2024-05-06T11:47:23Z,0,An Ex president out of shape😂😂😂 struggling going uphill 😂😂😂,-0.4215
33,@marks6385,2024-05-06T01:17:34Z,2024-05-06T01:17:34Z,0,Best President ever! FJB!,0.6988
34,@douglaspelowski5566,2024-05-05T21:17:59Z,2024-05-05T21:17:59Z,0,All 5 of them,0.0
35,@roibnharsvick6338,2024-05-05T12:58:22Z,2024-05-05T12:58:22Z,0,FDJT. Criminal and cheat  ....,-0.7506
36,@user-ej5rv4ce2w,2024-05-04T20:48:41Z,2024-05-04T20:48:49Z,0,Is he walking to prison?,-0.5106
37,@felixgonzalez3972,2024-05-04T16:16:33Z,2024-05-04T16:16:33Z,0,"I could smell right through the computer. S*** is s***, no matter what you call it.",-0.2732
38,@pookies_alibi,2024-05-04T04:11:04Z,2024-05-04T04:11:04Z,0,Worst President ever,-0.6249
39,@pookies_alibi,2024-05-04T04:10:48Z,2024-05-04T04:10:48Z,0,Von shitsinpants,0.0
40,@nancychuba2823,2024-05-04T00:34:39Z,2024-05-04T00:34:39Z,0,"Greatest president ,we love u Trump 2024❤",0.8555
41,@waynebowen3133,2024-05-03T22:43:01Z,2024-05-03T22:43:01Z,0,I hear no fu either,-0.7845
42,@jamzpaginag856,2024-05-03T15:39:38Z,2024-05-03T15:39:38Z,0,That&#39;s it practice makes you perfect in prison.,0.1027
43,@nunionbusiness,2024-05-03T12:11:21Z,2024-05-03T12:11:21Z,0,Only when he takes his morning Adderall,0.0
44,@jeffrapp7278,2024-05-02T21:59:26Z,2024-05-02T21:59:26Z,0,All 5 of them😅,0.0
45,@apartmentsavailableinnewyo3974,2024-05-02T13:30:01Z,2024-05-02T13:30:01Z,0,Stay strong Donald Trump. We can&#39;t wait to vote you in office.,0.5106
46,@deborahbowden5586,2024-05-02T05:01:00Z,2024-05-02T05:01:00Z,0,❤❤❤❤❤Trump,0.0
47,@VazquezAntonio-ot7pz,2024-05-01T13:40:12Z,2024-05-01T13:40:12Z,0,Ciego enganando a ciegos,0.0
48,@091461,2024-05-01T12:22:24Z,2024-05-01T12:22:24Z,0,Lock that POS up.,0.0
49,@dmr123kkla,2024-05-01T00:59:07Z,2024-05-01T00:59:07Z,1,I only heard three different voices. And that&#39;s how come they weren&#39;t shown on video. <br>The Scheming and the Scamming and Hoodwinking never stop with the self-proclaimed Pussy Grabber and convicted Rapist.,-0.6139
50,@arturodeltoro1419,2024-04-30T21:46:25Z,2024-04-30T21:46:25Z,0,CONald Trump,0.0
51,@abelfhi6733,2024-04-30T13:04:46Z,2024-04-30T13:04:46Z,0,Trump Trump Trump Trump Trump Trump,0.0
52,@arthursmith9264,2024-04-30T02:38:44Z,2024-04-30T02:38:44Z,1,That depend is leaking,0.0
53,@rosalindaestrada5314,2024-04-30T01:36:44Z,2024-04-30T01:36:44Z,0,We love you President Trump!  Trump 2024,0.6696
54,@Kg-ke9zs,2024-04-29T23:31:43Z,2024-04-29T23:31:43Z,0,Trump baby,0.0
55,@kristiandoon8976,2024-04-29T20:47:40Z,2024-04-29T20:47:40Z,0,How many diapers does he use a day?,0.0
56,@margaretdickson9940,2024-04-29T16:53:46Z,2024-04-29T16:53:46Z,2,Grifter,0.0
57,@AnimeTrackstar,2024-04-29T15:48:47Z,2024-04-29T15:48:47Z,1,pathetic traitor,-0.5719
58,@michaelzwane7487,2024-04-29T08:07:14Z,2024-04-29T08:07:14Z,1,"These ppl love someone who doesn&#39;t give a damn  about them nor his own wife who he cheated on with hookers while she was home pregnant with unborn son Barron, what a Shame. Amazing what a cult can do.",-0.0258
59,@carolyntreadwell6298,2024-04-28T21:10:02Z,2024-04-28T21:10:02Z,0,Donald Duck?,0.0
60,@elizabethbeattie6488,2024-04-28T18:02:46Z,2024-04-28T18:02:46Z,1,Jail hm,0.0
61,@lisawertz1862,2024-04-27T23:55:59Z,2024-04-27T23:55:59Z,0,We need to make sure he wins by a huge landslide,0.8074
62,@unknowndrummer3229,2024-04-27T19:17:13Z,2024-04-27T19:17:13Z,0,All 5 of them.,0.0
63,@urekdumone2,2024-04-27T00:53:51Z,2024-04-27T00:53:51Z,1,"erik thinks hes a bad ass, what a biatch",0.6124
64,@andrewlee1573,2024-04-26T12:13:18Z,2024-04-26T12:13:18Z,0,"He is old school where he will hand the valet a $100. Just stuff like that, I guarantee most of the workers there love him.",0.8979
65,@andrewlee1573,2024-04-26T12:11:01Z,2024-04-26T12:11:01Z,0,"We will never have a president like this for the rest of our lives. If you look at the attacks against him, you know he is good.",-0.2755
66,@paulcardsfan,2024-04-26T06:43:06Z,2024-04-26T06:43:06Z,0,Thank God RFK will be President . Thank you Trump for locking us down destroying our Country thank you for forcing RNA clod shots killing millions of our young with heart attacks.  Thanks for nothing you did nothing scum bag Trump . Will be voting for RFK Jr,-0.1027
67,@washingtonfootballfanwgil8392,2024-04-26T02:41:43Z,2024-04-26T02:41:43Z,0,Is that Mark Fhurman in the polo shirt?,0.0
